Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Machine learning : Traitement du langage naturel avec Python,"Avec Madjid Khichane, découvrez le traitement du langage naturel avec Python, le langage de programmation multiplateforme. Après avoir abordé les principes du NLP (Natural Language Processing), vous apprendrez à traiter un texte avec différents modules, vous procéderez à la préparation des données, ainsi qu'à la lemmatization et au stemming. Vous verrez comment transformer un texte en chiffres et vous aborderez la méthode K-fold. Vous réaliserez des modèles de classification SVM et Random forest, puis vous perfectionnerez les modèles à l'aide d'hyperparamètres. Pour finir, vous apprendrez à homogénéiser et à tester les données.",Course,2021-03-30 07:49 UTC,N/A,true,N/A,
Python : L'analyse de données,"De nos jours, l'explosion du volume et de la variété des données ne laisse plus planer de doute : le rôle du data scientist sera central dans les années à venir. Si vous êtes data scientist ou que vous souhaitez travailler avec Python, ce cours est pour vous. Omar Souissi, professeur associé en technologie de l'information et techniques d'optimisation, vous aide à acquérir les bases indispensables pour faire de la data science avec Python. Vous découvrirez comment utiliser deux bibliothèques indispensables, à savoir NumPy et Pandas. Vous verrez également quelques études de cas qui vous permettront d'assimiler facilement les différentes notions de Python pour l'analyse de données.",Course,2021-01-12 12:16 UTC,N/A,false,N/A,
Angular : Les templates,"Si vous souhaitez développer avec Angular 2, suivez cette formation d'Emmanuel Henri. Destinée aux développeurs web ayant déjà une bonne expérience du HTML et des CSS, elle vous permettra d'aborder plus facilement Angular grâce à ses templates. Après avoir assimilé les principes de base des templates, vous étudierez en détail la syntaxe des directives et les notions de data binding. Puis, vous vous initierez aux techniques d'animation et vous bâtirez un projet en vous reposant sur des exemples concrets. À la fin de cette formation, vous aurez toutes les cartes en main pour développer des applications web et pour progresser avec Angular 2.",Course,2020-09-24 16:35 UTC,N/A,false,N/A,
