Name,Url,Authority,Started On,Finished On,License Number
Technical Support Fundamentals,https://www.coursera.org/account/accomplishments/verify/EYQ63B4T5PMK,Google,Sep 2020,,
Interactivity with JavaScript,https://www.coursera.org/account/accomplishments/verify/EBWMXKSB3CNW,University of Michigan | Coursera,Sep 2020,,
Getting Started with Power BI Desktop,https://www.coursera.org/account/accomplishments/verify/EJMQ4UN3M4LR,Coursera,Sep 2020,,
introduction to artificial intelligence ,,Go My Code,May 2021,,00000755
